source,target,edge_type
1,46,1
1,58,1
3,22,1
3,23,1
7,42,1
13,14,1
13,52,1
14,15,1
15,29,1
15,41,1
22,23,1
22,34,1
22,65,1
23,67,1
29,41,1
29,42,1
29,55,1
34,63,1
34,46,1
41,52,1
41,87,1
42,72,1
46,58,1
46,78,1
52,67,1
52,86,1
55,89,1
63,65,1
63,79,1
63,100,1
65,67,1
65,82,1
67,82,1
67,102,1
72,91,1
72,105,1
74,94,1
77,78,1
77,94,1
77,124,1
78,79,1
82,100,1
82,101,1
86,87,1
86,102,1
86,116,1
87,105,1
89,105,1
93,94,1
100,111,1
105,107,1
105,118,1
107,161,1
111,124,1
116,118,1
116,127,1
116,142,1
118,135,1
122,123,1
122,144,1
123,124,1
123,144,1
123,165,1
124,153,1
127,133,1
133,157,1
135,159,1
135,161,1
140,154,1
140,156,1
142,157,1
142,159,1
144,163,1
153,154,1
153,180,1
153,184,1
154,156,1
156,157,1
156,184,1
157,185,1
159,161,1
159,187,1
169,199,1
163,176,1
163,191,1
165,180,1
165,191,1
176,190,1
180,184,1
180,190,1
184,185,1
185,199,1
187,199,1
190,191,1
1,9,0
1,8,0
2,10,0
2,20,0
3,11,0
3,12,0
3,4,0
4,13,0
5,15,0
5,16,0
6,7,0
6,29,0
7,17,0
8,18,0
8,19,0
9,19,0
9,20,0
10,11,0
10,21,0
10,34,0
11,22,0
12,23,0
13,23,0
13,24,0
14,15,0
14,25,0
15,16,0
15,26,0
15,28,0
16,28,0
16,29,0
17,29,0
17,30,0
18,31,0
18,43,0
19,32,0
20,33,0
21,33,0
22,23,0
22,34,0
22,35,0
23,37,0
24,37,0
24,38,0
25,38,0
25,39,0
26,27,0
26,39,0
27,28,0
27,40,0
28,41,0
29,41,0
29,42,0
30,42,0
31,43,0
31,44,0
32,33,0
32,44,0
32,45,0
33,46,0
34,48,0
35,36,0
35,48,0
36,37,0
36,49,0
37,50,0
38,50,0
38,51,0
39,51,0
39,52,0
40,41,0
40,52,0
40,53,0
41,54,0
42,56,0
42,72,0
43,57,0
44,58,0
45,58,0
45,59,0
45,60,0
46,47,0
46,61,0
47,62,0
48,62,0
48,63,0
49,66,0
51,67,0
51,68,0
51,52,0
52,69,0
53,54,0
54,55,0
54,70,0
55,71,0
56,91,0
57,58,0
57,73,0
58,59,0
58,74,0
58,75,0
59,75,0
59,76,0
60,61,0
60,76,0
61,62,0
61,76,0
61,78,0
62,79,0
63,64,0
63,79,0
63,80,0
64,65,0
64,81,0
65,66,0
65,82,0
66,67,0
66,82,0
67,68,0
67,84,0
68,69,0
68,85,0
69,86,0
70,71,0
70,87,0
71,72,0
71,89,0
72,90,0
72,91,0
73,74,0
73,92,0
74,92,0
74,75,0
75,94,0
76,77,0
77,78,0
77,95,0
78,79,0
78,97,0
79,98,0
80,99,0
80,100,0
81,82,0
81,100,0
82,101,0
83,101,0
83,102,0
84,85,0
85,103,0
86,103,0
86,104,0
87,88,0
88,89,0
88,117,0
89,105,0
90,91,0
90,105,0
91,105,0
91,107,0
92,93,0
93,94,0
94,95,0
95,122,0
96,97,0
96,109,0
97,98,0
98,99,0
98,110,0
99,110,0
99,112,0
100,101,0
100,112,0
100,113,0
101,114,0
102,103,0
102,115,0
104,116,0
105,106,0
105,118,0
106,107,0
107,119,0
109,124,0
109,110,0
110,111,0
111,112,0
111,124,0
112,125,0
113,114,0
113,125,0
114,115,0
114,131,0
114,132,0
115,126,0
115,127,0
116,117,0
116,127,0
116,128,0
117,118,0
117,129,0
118,119,0
119,136,0
120,121,0
120,144,0
121,122,0
121,145,0
122,123,0
122,146,0
123,124,0
123,137,0
123,148,0
123,149,0
124,138,0
125,131,0
126,127,0
126,140,0
127,133,0
127,134,0
128,129,0
128,134,0
128,142,0
129,135,0
129,142,0
129,143,0
130,131,0
130,139,0
132,140,0
133,140,0
133,141,0
134,141,0
134,142,0
135,136,0
135,143,0
135,161,0
136,162,0
137,147,0
138,150,0
138,152,0
139,140,0
139,153,0
139,154,0
140,156,0
141,142,0
141,158,0
142,143,0
143,159,0
143,160,0
144,145,0
144,177,0
145,146,0
146,147,0
146,163,0
147,164,0
148,149,0
148,164,0
149,150,0
149,165,0
150,151,0
151,152,0
151,165,0
151,166,0
152,153,0
153,154,0
153,166,0
153,167,0
154,155,0
155,156,0
155,167,0
155,168,0
156,157,0
156,169,0
157,158,0
157,170,0
158,171,0
159,160,0
159,172,0
159,188,0
160,161,0
160,173,0
161,174,0
162,175,0
163,164,0
163,177,0
164,178,0
164,179,0
165,179,0
165,180,0
166,181,0
166,183,0
167,168,0
167,183,0
168,184,0
169,184,0
170,171,0
170,185,0
171,172,0
171,186,0
171,198,0
172,187,0
173,174,0
173,188,0
173,200,0
174,175,0
175,200,0
176,189,0
178,189,0
178,191,0
179,191,0
180,181,0
180,192,0
180,193,0
181,182,0
181,193,0
182,183,0
182,195,0
183,196,0
184,197,0
184,185,0
185,186,0
186,198,0
187,188,0
187,198,0
188,199,0
189,190,0
190,191,0
190,192,0
193,194,0
194,195,0
195,197,0
196,197,0
199,200,0
1,46,3
13,46,3
13,67,3
13,89,3
46,74,3
46,79,3
67,79,3
67,89,3
67,111,3
79,93,3
79,111,3
89,140,3
89,159,3
111,153,3
111,163,3
140,153,3
140,159,3
153,163,3
153,185,3
159,185,3
115,118,4
115,157,4
157,194,4
